gene	B_cells_EA	B_cells_AA	CAFs_EA	CAFs_AA	Cancer_EA	Cancer_AA	Cycling_Myeloid_EA	Cycling_Myeloid_AA	Cycling_PVL_EA	Cycling_PVL_AA	Endothelial_EA	Endothelial_AA	IFN-resp.neutrophil_EA	IFN-resp.neutrophil_AA	IL.8.neutrophil_EA	IL.8.neutrophil_AA	Lum_Prog_EA	Lum_Prog_AA	Mature_Lum_EA	Mature_Lum_AA	Myeloid_DC_EA	Myeloid_DC_AA	Myeloid_Macrophage_EA	Myeloid_Macrophage_AA	Myeloid_Monocyte_EA	Myeloid_Monocyte_AA	Myoepithelial_EA	Myoepithelial_AA	PVL_EA	PVL_AA	Plasmablast_EA	Plasmablast_AA	T_cells_EA	T_cells_AA	T_cells_CD4_EA	T_cells_CD4_AA	T_cells_CD4_Tfh_EA	T_cells_CD4_Tfh_AA	T_cells_CD4_Tregs_EA	T_cells_CD4_Tregs_AA	T_cells_CD8_EA	T_cells_CD8_AA	T_cells_NK_EA	T_cells_NK_AA	T_cells_NKT_EA	T_cells_NKT_AA	calprotectin.neutrophil_EA	calprotectin.neutrophil_AA	degraulating.neutrophil_EA	degraulating.neutrophil_AA
DGKZ	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.01	0.00	0.02	0.00
H1FX	0.00	0.00	0.02	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.00	0.00	0.00	0.00	0.02	0.01	0.02	0.01	0.02	0.00	0.02	0.01	0.01	0.00	0.02	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.00	0.02	0.01	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00
MOB3A	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.04	0.01	0.03	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.05	0.01	0.04	0.01
LIME1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
S100A9	0.00	0.00	0.00	0.00	0.07	0.01	0.12	0.03	0.00	0.00	0.00	0.00	0.25	0.05	0.24	0.05	0.08	0.02	0.01	0.00	0.02	0.00	0.15	0.03	0.24	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.23	0.05	0.26	0.05
IKBKE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LAMTOR4	0.02	0.01	0.03	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.01	0.00	0.02	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.04	0.01	0.04	0.02	0.02	0.01	0.03	0.01	0.01	0.00	0.03	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01
TNFRSF18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.04	0.01	0.04	0.01	0.01	0.00	0.03	0.01	0.01	0.00	0.00	0.00	0.00	0.00
SERPINB1	0.02	0.01	0.02	0.01	0.02	0.01	0.06	0.02	0.02	0.00	0.03	0.01	0.07	0.02	0.08	0.02	0.03	0.01	0.05	0.01	0.08	0.02	0.06	0.02	0.09	0.02	0.03	0.01	0.02	0.00	0.01	0.00	0.04	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.04	0.01	0.05	0.01	0.10	0.03
NAGK	0.02	0.00	0.02	0.01	0.02	0.01	0.05	0.01	0.03	0.01	0.02	0.01	0.03	0.01	0.06	0.02	0.02	0.01	0.02	0.01	0.04	0.01	0.06	0.02	0.05	0.01	0.02	0.00	0.02	0.01	0.01	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.03	0.01
PRKD2	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00
IFITM1	0.09	0.04	0.13	0.06	0.04	0.02	0.05	0.02	0.10	0.05	0.16	0.07	0.14	0.06	0.09	0.04	0.05	0.02	0.08	0.04	0.04	0.02	0.07	0.03	0.05	0.02	0.13	0.06	0.16	0.07	0.08	0.04	0.21	0.10	0.14	0.06	0.16	0.07	0.12	0.06	0.19	0.08	0.15	0.07	0.14	0.06	0.08	0.04	0.03	0.02
RHOF	0.02	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.00	0.00	0.01	0.00
UQCRC1	0.01	0.00	0.02	0.01	0.03	0.01	0.04	0.01	0.04	0.01	0.02	0.01	0.00	0.00	0.01	0.00	0.03	0.01	0.04	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.04	0.01	0.03	0.01	0.01	0.00	0.02	0.01	0.01	0.00	0.02	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.03	0.01
CORO1B	0.01	0.00	0.01	0.00	0.02	0.01	0.02	0.01	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.01	0.02	0.00	0.03	0.01	0.02	0.01	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.01	0.02	0.00	0.04	0.01	0.04	0.01	0.02	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00
RASSF5	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.03	0.01	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01
GZMK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.04	0.04	0.02	0.01	0.01	0.01	0.00	0.11	0.06	0.07	0.04	0.03	0.02	0.00	0.00	0.00	0.00
NECAP2	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.00	0.02	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.04	0.01	0.02	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.03	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00
SIPA1	0.01	0.00	0.01	0.00	0.02	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.02	0.01	0.01	0.00	0.02	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00
UNC93B1	0.02	0.01	0.01	0.00	0.02	0.01	0.05	0.02	0.01	0.00	0.01	0.00	0.02	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.04	0.01	0.06	0.02	0.03	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.02	0.01
TMEM176A	0.01	0.00	0.20	0.09	0.02	0.01	0.17	0.08	0.09	0.04	0.01	0.01	0.00	0.00	0.00	0.00	0.05	0.02	0.05	0.02	0.07	0.03	0.29	0.13	0.12	0.06	0.01	0.00	0.11	0.05	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HCST	0.05	0.02	0.00	0.00	0.01	0.00	0.21	0.07	0.01	0.01	0.01	0.00	0.01	0.00	0.02	0.01	0.00	0.00	0.01	0.00	0.14	0.05	0.27	0.09	0.27	0.10	0.00	0.00	0.00	0.00	0.02	0.01	0.31	0.11	0.24	0.08	0.20	0.07	0.22	0.08	0.41	0.14	0.36	0.12	0.43	0.15	0.01	0.00	0.13	0.04
PPP1R9B	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IL2RB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.01	0.02	0.01	0.03	0.02	0.03	0.02	0.06	0.03	0.03	0.02	0.00	0.00	0.00	0.00
IL1RN	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
CCL21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.10	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MLLT6	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00
VDR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CFB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VARS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SAFB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MARCO	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDEM2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
FCHSD2	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MID1IP1	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00
CLEC10A	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SUSD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
TAPBPL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA4A	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.00
SLC31A2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00
RPL28	0.70	0.21	0.54	0.17	0.59	0.18	0.56	0.17	0.49	0.15	0.52	0.16	0.09	0.03	0.11	0.03	0.63	0.19	0.54	0.17	0.62	0.19	0.55	0.17	0.62	0.19	0.58	0.18	0.49	0.15	0.41	0.13	0.67	0.20	0.70	0.22	0.65	0.20	0.64	0.20	0.69	0.21	0.63	0.19	0.57	0.18	0.05	0.01	0.18	0.06
CLIC3	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00
MRPL54	0.02	0.00	0.01	0.00	0.02	0.00	0.03	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00
RPL13A	0.39	0.10	0.31	0.08	0.37	0.09	0.25	0.07	0.31	0.08	0.28	0.07	0.04	0.01	0.10	0.03	0.35	0.09	0.33	0.09	0.31	0.08	0.22	0.06	0.30	0.08	0.28	0.07	0.31	0.08	0.15	0.04	0.27	0.07	0.32	0.08	0.27	0.07	0.26	0.07	0.26	0.07	0.30	0.08	0.32	0.08	0.03	0.01	0.16	0.04
CD247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.03	0.03	0.02	0.05	0.03	0.04	0.03	0.04	0.02	0.05	0.03	0.07	0.04	0.00	0.00	0.00	0.00
SERF2	0.11	0.05	0.15	0.06	0.18	0.07	0.18	0.08	0.17	0.07	0.15	0.06	0.02	0.01	0.05	0.02	0.13	0.05	0.16	0.06	0.16	0.07	0.17	0.07	0.17	0.07	0.09	0.04	0.14	0.06	0.11	0.05	0.14	0.06	0.12	0.05	0.14	0.06	0.14	0.06	0.13	0.05	0.13	0.05	0.14	0.06	0.02	0.01	0.06	0.03
ACAP1	0.04	0.02	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.05	0.02	0.04	0.02	0.05	0.02	0.05	0.02	0.05	0.03	0.04	0.02	0.04	0.02	0.01	0.01	0.04	0.02
